title,summary,url,source,collected_at,category,text,processed_text,label
Tombense x Anápolis - Campeonato Brasileiro Série C 2025 - Ao vivo - globoesporte.com,"Campeonato Brasileiro Série C 2025 no globoesporte.com - acompanhe tudo sobre Tombense x Anápolis: escalação, informações sobre o jogo, fotos e muito mais",https://ge.globo.com/futebol/brasileirao-serie-c/jogo/01-06-2025/tombensefutebolclube-anapolis.ghtml,ge,2025-06-01 17:03:32,resultado,"Tombense x Anápolis - Campeonato Brasileiro Série C 2025 - Ao vivo - globoesporte.com Campeonato Brasileiro Série C 2025 no globoesporte.com - acompanhe tudo sobre Tombense x Anápolis: escalação, informações sobre o jogo, fotos e muito mais",tombense x Anapolis campeonato brasileiro serie c 2025 vivo globoesporte campeonato brasileiro serie c 2025 globoesporte acompanhar tombense x anapolis escalacao informacoes jogo foto,0
PSG atropela a Inter com o brilho de Doué e enfim conquista a Champions,"Franceses têm atuação de gala e impõem a maior goleada da história das finais da Liga dos Campeões, faturando troféu inédito. Jovem francês faz dois gols e dá uma assistência",https://ge.globo.com/futebol/futebol-internacional/liga-dos-campeoes/jogo/31-05-2025/parissaintgermain-interdemilao.ghtml,ge,2025-06-01 17:03:32,resultado,"PSG atropela a Inter com o brilho de Doué e enfim conquista a Champions Franceses têm atuação de gala e impõem a maior goleada da história das finais da Liga dos Campeões, faturando troféu inédito. Jovem francês faz dois gols e dá uma assistência",psg atropelar inter brilho doue enfim conquistar champions francês atuacao gala impoem goleada historia final liga campeoe faturar trofeu ineditar jovem frances gol assistencia,0
São Paulo fecha venda de lateral de 16 anos a clube francês por R$ 32 milhões,"Angelo foi campeão do Sul-Americano Sub-17 com a seleção brasileira e vai defender o Strasbourg, da França, quando completar 18 anos",https://ge.globo.com/futebol/times/sao-paulo/noticia/2025/06/01/sao-paulo-fecha-venda-de-lateral-de-16-anos-a-clube-frances-por-r-32-milhoes.ghtml,ge,2025-06-01 17:03:32,transferencia,"São Paulo fecha venda de lateral de 16 anos a clube francês por R$ 32 milhões Angelo foi campeão do Sul-Americano Sub-17 com a seleção brasileira e vai defender o Strasbourg, da França, quando completar 18 anos",Sao Paulo fechar venda lateral 16 ano clube frances r 32 Milhoes angelo campeao sul americano sub 17 selecao brasileiro defender strasbourg franca completar 18 ano,1
Coritiba deve lucrar com transferência de Matheus Cunha ao Manchester United; veja valores,"Manchester United deve pagar a multa rescisória do jogador, avaliada em cerca de 62,5 milhões de libras esterlinas (R$ 472 milhões na cotação atual)",https://ge.globo.com/pr/futebol/times/coritiba/noticia/2025/06/01/coritiba-deve-lucrar-com-transferencia-de-matheus-cunha-ao-manchester-united-veja-valores.ghtml,ge,2025-06-01 17:03:32,transferencia,"Coritiba deve lucrar com transferência de Matheus Cunha ao Manchester United; veja valores Manchester United deve pagar a multa rescisória do jogador, avaliada em cerca de 62,5 milhões de libras esterlinas (R$ 472 milhões na cotação atual)",Coritiba lucrar transferencia Matheus Cunha Manchester united valor Manchester united pagar multa rescisorio jogador avaliar cerca 62 5 milhoes libra esterlina r 472 milhoes cotacao atual,1
"Além de Igor Jesus, Botafogo encaminha vendas de Jair e Cuiabano ao Nottingham Forest","Negociações estão por detalhes de serem concretizadas, e despedidas serão após a disputa da Copa do Mundo de Clubes",https://ge.globo.com/futebol/times/botafogo/noticia/2025/06/01/alem-de-igor-jesus-botafogo-encaminha-venda-de-jair-ao-nottingham-forest.ghtml,ge,2025-06-01 17:03:32,transferencia,"Além de Igor Jesus, Botafogo encaminha vendas de Jair e Cuiabano ao Nottingham Forest Negociações estão por detalhes de serem concretizadas, e despedidas serão após a disputa da Copa do Mundo de Clubes",alem igor Jesus Botafogo encaminhar venda Jair cuiabano nottingham forest negociacoes estao detalhe ser concretizar despedida serao apo disputa copa mundo clube,1
Torcedor do São Paulo ferido por queda de placa no Morumbis tem alta e segue recuperação em casa,Ivan Bezerra da Silva chegou a ficar em coma na UTI do hospital após ser atingido por objeto de metal no setor térreo do estádio,https://ge.globo.com/futebol/times/sao-paulo/noticia/2025/06/01/torcedor-do-sao-paulo-ferido-por-queda-de-placa-no-morumbis-recebe-alta-e-segue-recuperacao-em-casa.ghtml,ge,2025-06-01 17:03:32,resultado,Torcedor do São Paulo ferido por queda de placa no Morumbis tem alta e segue recuperação em casa Ivan Bezerra da Silva chegou a ficar em coma na UTI do hospital após ser atingido por objeto de metal no setor térreo do estádio,torcedor Sao Paulo ferir queda placa morumbis alta seguir recuperacao casa ivan bezerra Silva chegar ficar coma uti hospital apos atingir objeto metal setor terreo estadio,0
Pulgar e Viña voltam ao Flamengo contra o Fortaleza e viram opção para Filipe Luís; Allan está fora,Volante é cortado com dores musculares; lateral é relacionados nove meses após grave lesão,https://ge.globo.com/futebol/times/flamengo/noticia/2025/06/01/escalacao-do-flamengo-pulgar-e-vina-voltam-contra-o-fortaleza-e-viram-opcao-para-filipe-luis.ghtml,ge,2025-06-01 17:03:32,lesao,Pulgar e Viña voltam ao Flamengo contra o Fortaleza e viram opção para Filipe Luís; Allan está fora Volante é cortado com dores musculares; lateral é relacionados nove meses após grave lesão,pulgar vino voltar flamengo fortaleza ver opcao Filipe Luis Allan volante cortar dor muscular lateral relacionar apo grave lesao,2
"Ex-Fluminense ajuda Sabah a levar título inédito contra o Qarabag: ""Vamos disputar a Liga Europa""","Nogueira foi um dos pilares da primeira taça da história do novato Sabah, que tem apenas oito anos de existência",https://ge.globo.com/futebol/futebol-internacional/noticia/2025/06/01/ex-fluminense-ajuda-sabah-a-levar-titulo-inedito-contra-o-qarabag-vamos-disputar-a-liga-europa.ghtml,ge,2025-06-01 17:03:32,outras,"Ex-Fluminense ajuda Sabah a levar título inédito contra o Qarabag: ""Vamos disputar a Liga Europa"" Nogueira foi um dos pilares da primeira taça da história do novato Sabah, que tem apenas oito anos de existência",ex fluminense ajudar sabah levar titulo ineditar qarabag ir disputar liga Europa nogueira pilar taca historia novato sabah ano existencia,4
"Jair, Hugo Moura, Cocão... Volantes oscilam e viram ponto de interrogação do Vasco de Diniz",Dúvida no meio de campo existe desde o início da temporada e segue sem respostas unânimes,https://ge.globo.com/futebol/times/vasco/noticia/2025/06/01/jair-hugo-moura-cocao-volantes-oscilam-e-viram-ponto-de-interrogacao-do-vasco-de-diniz.ghtml,ge,2025-06-01 17:03:32,outras,"Jair, Hugo Moura, Cocão... Volantes oscilam e viram ponto de interrogação do Vasco de Diniz Dúvida no meio de campo existe desde o início da temporada e segue sem respostas unânimes",Jair hugo Moura cocao volante oscilar ver interrogacao vasco diniz duvidar campo existir temporada seguir resposta unanime,4
"Cria do São Paulo, Bissoli fecha temporada na Tailândia com quatro títulos e 43 gols",Atacante de 27 anos conseguiu os melhores números da carreira em seu segundo ano de Buriram United,https://ge.globo.com/futebol/futebol-internacional/noticia/2025/06/01/cria-do-sao-paulo-bissoli-fecha-temporada-na-tailandia-com-quatro-titulos-e-43-gols.ghtml,ge,2025-06-01 17:03:32,outras,"Cria do São Paulo, Bissoli fecha temporada na Tailândia com quatro títulos e 43 gols Atacante de 27 anos conseguiu os melhores números da carreira em seu segundo ano de Buriram United",criar Sao Paulo bissoli fechar temporada tailandia titulo 43 gol atacante 27 ano conseguir bom numero carreira ano buriram United,4
Santos chega a acordo com Alexandre Mattos e aguarda dirigente na Baixada,,https://www.uol.com.br/esporte/colunas/mercado-da-bola/2025/06/01/santos-chega-a-acordo-com-alexandre-mattos-e-aguarda-dirigente-na-baixada.htm,uol,2025-06-01 17:03:32,outras,Santos chega a acordo com Alexandre Mattos e aguarda dirigente na Baixada ,santo chegar acordo Alexandre Mattos aguardar dirigente baixada,4
Quem é quem na guerra política pela presidência do Corinthians,,https://www.uol.com.br/esporte/ultimas-noticias/agencia/2025/06/01/quem-e-quem-na-guerra-politica-pela-presidencia-do-corinthians.htm,uol,2025-06-01 17:03:32,outras,Quem é quem na guerra política pela presidência do Corinthians ,guerra politico presidencia Corinthians,4
Alcaraz vence 100º jogo no saibro e volta às quartas em Roland Garros,,https://www.uol.com.br/esporte/ultimas-noticias/2025/06/01/alcaraz-vence-100-jogo-no-saibro-e-volta-as-quartas-em-roland-garros.htm,uol,2025-06-01 17:03:32,resultado,Alcaraz vence 100º jogo no saibro e volta às quartas em Roland Garros ,alcaraz vencer 100o jogo saibro voltar quarta roland garro,0
"Botafogo encaminha vendas de Igor Jesus, Jair e Cuiabano para o Nottingham","O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/colunas/mercado-da-bola/2025/06/01/botafogo-encaminha-venda-de-trio-titular-para-o-nottingham-forest.htm,uol,2025-06-01 17:03:32,transferencia,"Botafogo encaminha vendas de Igor Jesus, Jair e Cuiabano para o Nottingham O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",Botafogo encaminhar venda igor Jesus Jair cuiabano nottinghar espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,1
Alexandre Mattos vai para o Santos e só falta saber o nome exato do cargo,"O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/colunas/pvc/2025/06/01/alexandre-mattos-vai-para-o-santos-e-so-falta-saber-o-nome-exato-do-cargo.htm,uol,2025-06-01 17:03:32,outras,"Alexandre Mattos vai para o Santos e só falta saber o nome exato do cargo O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",Alexandre Mattos Santos so nome exato cargo espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,4
São Paulo anuncia informações sobre venda de ingressos para duelo contra o Vasco,"O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/06/01/sao-paulo-anuncia-informacoes-sobre-venda-de-ingressos-para-duelo-contra-o-vasco.htm,uol,2025-06-01 17:03:32,transferencia,"São Paulo anuncia informações sobre venda de ingressos para duelo contra o Vasco O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",Sao Paulo anunciar informacoe venda ingresso duelo vasco espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,1
Santos tem Neymar titular contra o Botafogo; veja escalações,"O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/06/01/santos-x-botafogo-brasileirao-escalacao.htm,uol,2025-06-01 17:03:32,outras,"Santos tem Neymar titular contra o Botafogo; veja escalações O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",santo neymar titular botafogo escalacoes espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,4
Dembélé é eleito o melhor da Liga dos Campeões; PSG tem 7 na seleção,"O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/ultimas-noticias/agencia/2025/06/01/dembele-e-eleito-o-melhor-da-liga-dos-campeoes-psg-domina-selecao-com-sete-nomes.htm,uol,2025-06-01 17:03:32,outras,"Dembélé é eleito o melhor da Liga dos Campeões; PSG tem 7 na seleção O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",dembele eleger bom liga Campeoes psg 7 selecao espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,4
"Com Neymar, Santos está escalado para pegar o Botafogo; confira","O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/06/01/com-neymar-santos-esta-escalado-para-pegar-o-botafogo-confira.htm,uol,2025-06-01 17:03:32,outras,"Com Neymar, Santos está escalado para pegar o Botafogo; confira O espanhol Carlos Alcaraz, número 2 do mundo, bateu o norte-americano Ben Shelton (13°) por 3 sets a 1, com...",neymar santo escalar botafogo confira espanhol carlos Alcaraz numero 2 mundo bater norte americano ben shelton 13 3 set 1,4
"Botafogo encaminha vendas de Igor Jesus, Jair e Cuiabano para o NottinghamFelipe Silva",,https://www.uol.com.br/esporte/colunas/mercado-da-bola/2025/06/01/botafogo-encaminha-venda-de-trio-titular-para-o-nottingham-forest.htm,uol,2025-06-01 17:03:32,transferencia,"Botafogo encaminha vendas de Igor Jesus, Jair e Cuiabano para o NottinghamFelipe Silva ",Botafogo encaminhar venda igor Jesus Jair cuiabano nottinghamfelipe Silva,1
Santos chega a acordo com Alexandre Mattos e aguarda dirigente na BaixadaAndré Hernan e Felipe Silva,André Hernan e Felipe Silva,https://www.uol.com.br/esporte/colunas/mercado-da-bola/2025/06/01/santos-chega-a-acordo-com-alexandre-mattos-e-aguarda-dirigente-na-baixada.htm,uol,2025-06-01 17:03:32,outras,Santos chega a acordo com Alexandre Mattos e aguarda dirigente na BaixadaAndré Hernan e Felipe Silva André Hernan e Felipe Silva,santo chegar acordo Alexandre Mattos aguardar dirigente Baixadaandre hernan Felipe Silva andre hernan Felipe Silva,4
Alexandre Mattos vai para o Santos e só falta saber o nome exato do cargoPVC,,https://www.uol.com.br/esporte/colunas/pvc/2025/06/01/alexandre-mattos-vai-para-o-santos-e-so-falta-saber-o-nome-exato-do-cargo.htm,uol,2025-06-01 17:03:32,outras,Alexandre Mattos vai para o Santos e só falta saber o nome exato do cargoPVC ,Alexandre Mattos Santos so nome exato cargopvc,4
